Município;Responsável
CONSELHO MUNICIPAL DE EDUCACAO;JOANA DARC SANTOS
CONSELHO ESCOLAR CRECHE PAZ E AMOR;EDMILA GOMES BESSA
CONSELHO ESCOLAR PROFESSORA IRENE ROSA FERREIRA;DINAMENE FERNANDES E ARAUJO BARCELOS
CONSELHO ESCOLAR PROFESSORA NOEMIA DE CASTILHO;MARCOS PEREIRA VIEIRA
CONSELHO ESCOLAR JOSE DE ANCHIETA;EVA OLIVEIRA DOS SANTOS SILVA
ESTATUTO DO CONSELHO ESCOLAR UNIDADE EXECUTORA ESCOLA MUNICIPALIZADA MODESTINA FONSECA;RITA DE CASSIA MELO
CONSELHO ESCOLAR UNIDADE EXECUTORA ESCOLA MUNICIPALIZADA IRANI COSTA;VILMA FERRAZ DE MAIA OLIVEIRA
CONSELHO ESCOLAR MINISTRO ALFREDO NASSER;MARCIA RODRIGUES CARDOSO CARVALHO
CONSELHO ESCOLAR GERALDO DE ASSIS LOPES;VERA LUCIA DOS SANTOS
UNIDADE EXECUTORA DA ESCOLA MUNICIPAL JUCA LUDOVICO;DAYANNY EVANGELISTA DE SOUZA LIMA
CONSELHO ESCOLAR MARIA DE LOURDES MARTINS COSTA;RAMIRO JOSE DE SOUSA NETO
UNIDADE EXECUTORA GENOVEVA CABRAL;VANESSA DO ROSARIO CUNHA
CONSELHO ESCOLAR PROFESSORA MARIA LUZIA REZENDE SIMOES;RENATA DANIELA SANTOS
CONSELHO ESCOLAR CRECHE LAR MENINO JESUS;MARIA LUCIA ROSA DA SILVA
CONSELHO ESCOLAR MARIA DE LOURDES ESTIVALET TEIXEIRA;MARISA ALVES REIS
CONSELHO ESCOLAR CRECHE MUNICIPAL JOSE LUIS PEREIRA;ELIARIA MARIA DOS SANTOS
CENTRO EDUCACIONAL JOAO SILVESTRE DA SILVA;WELIANA TELES DE MORAIS SILVA
CONSELHO ESCOLAR SAO CARLOS;KESIA MARIA ALVES BRANDAO
UNIDADE EXECUTORA PROPRIA CMEI MARIA HELENY PERILLO VIEIRA DA CUNHA;LILIA CRISTINA SILVA MORAIS
UNIDADE EXECUTORA ESCOLA MUNICIPAL PADRE ELIGIO SILVESTRI;NIVEA CRISTINA DE MORAES
SERVICO AUTONOMO DE AGUA E ESGOTO DE JARAGUARI;SILVIA LETICIA FERREIRA GREGORIO
ASSOCIACAO DE PAIS E MESTRES DO CENTRO EDUCACIONAL INFANTIL PROFESSORA CLAUDIA DO NASCIMENTO;KALINDA ALEXANDRA DE SOUZA
ASSOCIACAO DE PAIS E MESTRES APM DA ESCOLA INDIGENA UBALDO ARANDU KWE-MI;LUZIA MONTIEL
ASSOCIACAO DE PAIS E MESTRES DO CENTRO EDUCACIONAL INFANTIL SORRISO DA CRIANCA TACURU-MS;ANA CRISTINA ESPINDOLA
ASSOCIACAO DE PAIS E MESTRES - APM DA ESCOLA INDIGENA TOMASIA DE VARGAS;RAMONA MARTINS GARAY
CAMARA MUNICIPAL DE VEREADORES DE COSTA RICA;ARTUR DELGADO BAIRD
CAMARA MUNICIPAL ELDORADO;DAIANE GOMES LACERDA
CAMARA MUNICIPAL DE JARAGUARI - MS;PETERSON MARTINS XAVIER
MUNICIPIO DE ALCINOPOLIS;WELITON DA SILVA GUIMARAES
MUNICIPIO DE ANASTACIO;MANOEL APARECIDO DA SILVA
MUNICIPIO DE AQUIDAUANA;MAURO LUIZ BATISTA
MUNICIPIO DE CHAPADAO DO SUL;WALTER SCHLATTER
MUNICIPIO DE COXIM;EDILSON MAGRO
MUNICIPIO DE IGUATEMI;LIDIO LEDESMA
MUNICIPIO DE JAPORA;VITOR DA CUNHA ROSA
MUNICIPIO DE JARAGUARI;CLAUDIO FERREIRA DA SILVA
MUNICIPIO DE SETE QUEDAS;ERLON FERNANDO POSSA DANELUZ
MUNICIPIO DE SONORA;MARIA CLARICE EWERLING
MUNICIPIO DE TACURU;ROGERIO DE SOUZA TORQUETTI
